host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
0,1,27,1,0,12,0,14,0,0,0,0,3,0,1,4,27,0,0,0,1,52,2,2
0,0,51,0,0,3,0,50,0,0,0,0,3,0,14,4,4,0,0,0,3,53,0,6
2,1,38,0,0,3,1,50,0,0,0,0,3,0,0,4,4,0,0,0,3,36,0,6
0,1,3,0,0,27,1,3,0,0,0,0,26,2,0,1,1,0,0,0,11,3,3,23
0,1,27,1,0,12,0,14,0,0,0,0,3,0,1,4,27,0,0,0,1,52,2,2
1,0,52,3,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,1,17,1,0,28,1,51,0,0,0,0,27,2,1,14,16,0,0,0,18,18,3,23
1,0,16,4,1,6,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,1,53,1,0,14,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
2,0,27,3,0,12,1,14,0,0,0,0,3,2,1,22,0,0,0,0,1,26,2,2
0,0,27,3,0,12,1,14,0,0,0,0,3,0,1,17,4,0,0,0,1,52,2,2
0,0,54,2,0,15,1,52,0,0,0,0,15,2,0,23,8,0,0,0,11,54,3,43
1,0,27,3,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,55,2,0,15,1,53,0,0,0,0,15,2,0,3,3,0,0,0,11,55,3,44
0,0,56,2,0,15,1,54,0,0,0,0,15,2,0,4,5,0,0,0,11,56,3,45
0,1,57,0,0,29,1,55,0,0,0,0,28,4,1,19,22,0,0,0,16,57,12,46
0,0,44,3,3,6,1,15,0,0,0,0,6,5,1,24,28,1,0,0,0,42,7,14
0,0,3,0,2,30,0,56,0,0,0,0,29,2,0,1,1,0,0,0,19,3,3,47
0,0,3,0,0,3,1,56,0,0,0,0,3,2,0,5,3,0,0,0,0,3,3,48
0,0,3,0,2,30,0,56,0,0,0,0,29,2,0,1,1,0,0,0,19,3,3,47
0,1,58,0,0,3,1,45,0,0,0,0,3,8,1,19,29,0,0,0,8,58,12,49
0,0,59,2,0,15,1,57,0,0,0,0,15,2,0,6,8,0,0,0,11,59,3,50
0,0,60,2,0,15,1,58,0,0,0,0,15,2,0,23,8,0,0,0,11,60,3,51
0,0,61,2,0,15,1,59,0,0,0,0,15,2,0,21,1,0,0,0,11,61,3,52
0,0,62,2,0,15,1,60,0,0,0,0,15,2,0,6,8,0,0,0,11,62,3,53
0,0,15,3,0,13,0,15,0,0,0,0,6,5,1,7,26,1,0,0,3,15,7,14
0,0,63,2,0,15,1,61,0,0,0,0,15,2,0,1,1,0,0,0,11,63,3,54
0,0,17,1,0,12,0,62,0,0,0,0,3,2,1,25,30,0,0,0,4,18,3,55
0,0,17,1,0,12,0,62,0,0,0,0,3,2,1,25,30,0,0,0,4,18,3,55
0,1,64,3,0,31,0,63,0,0,0,0,30,2,1,4,31,0,0,0,4,64,3,23
0,0,65,3,0,13,1,15,0,0,0,0,6,5,1,24,32,1,0,0,8,65,7,14
0,0,65,3,0,13,1,64,0,0,0,0,6,5,1,20,33,1,0,0,0,65,7,14
0,0,66,3,0,13,1,15,0,0,0,0,6,0,1,26,34,1,0,0,4,66,7,14
0,0,66,3,0,13,1,15,0,0,0,0,6,0,1,26,34,1,0,0,4,66,7,14
2,0,67,0,0,3,0,50,0,0,0,0,3,0,14,4,4,0,0,0,3,67,0,6
1,0,67,0,0,3,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,17,1,0,12,0,62,0,0,0,0,3,2,1,25,30,0,0,0,4,18,3,55
2,0,27,3,0,12,1,14,0,0,0,0,3,1,1,27,35,0,0,0,1,68,2,2
2,0,16,4,1,6,1,6,0,0,0,0,6,8,1,19,23,0,0,0,3,44,3,5
0,1,32,3,0,12,1,14,0,0,0,0,3,8,1,24,36,0,0,0,1,69,2,2
0,0,68,0,0,3,1,45,0,0,0,0,3,8,1,19,22,0,0,0,3,70,12,36
0,1,4,0,0,3,0,65,0,0,0,0,3,2,0,4,12,0,0,0,20,4,3,23
2,0,68,0,0,3,1,45,0,0,0,0,3,8,1,19,22,0,0,0,3,70,12,36
1,0,27,3,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,69,0,0,3,1,4,0,0,0,0,3,2,0,3,3,0,0,0,21,71,3,23
0,1,57,0,0,29,1,55,0,0,0,0,28,4,1,19,22,0,0,0,16,57,12,46
0,1,70,2,0,32,1,48,0,0,0,0,31,8,1,28,37,0,0,0,21,72,13,56
0,1,71,1,2,12,0,66,0,0,0,0,3,2,1,1,1,0,0,0,19,73,3,57
0,1,72,0,0,3,1,45,0,0,0,0,3,8,1,19,29,0,0,0,0,74,12,49
0,1,73,3,0,12,0,67,0,0,0,0,3,3,1,1,1,0,0,0,11,75,1,58
0,0,74,0,0,3,0,45,0,0,0,0,3,8,1,19,22,0,0,0,3,76,12,36
0,1,4,0,0,3,0,68,0,0,0,0,3,2,0,4,12,0,0,0,20,4,3,23
0,0,75,0,0,33,1,69,0,0,0,0,32,2,0,5,6,0,0,0,7,77,3,50
0,0,75,0,0,33,1,69,0,0,0,0,32,2,0,5,6,0,0,0,7,77,3,50
0,0,68,0,0,3,1,45,0,0,0,0,3,8,1,19,22,0,0,0,3,70,12,36
1,1,71,1,2,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,76,2,0,3,0,70,0,0,0,0,3,8,1,19,22,0,0,0,3,78,2,2
0,0,76,2,0,3,0,71,0,0,0,0,3,8,1,19,22,0,0,0,3,78,2,2
0,0,76,2,0,3,0,72,0,0,0,0,3,8,1,19,22,0,0,0,3,78,2,2
0,1,77,1,0,34,1,73,0,0,0,0,33,0,1,3,3,0,0,0,12,79,2,2
0,1,78,0,0,35,0,74,0,0,0,0,34,2,0,29,38,0,0,0,16,80,14,59
0,0,79,0,0,3,1,75,0,0,0,0,3,9,1,19,39,0,0,0,22,81,12,60
0,0,4,0,0,3,1,4,0,0,0,0,3,2,0,1,1,0,0,0,8,4,3,3
2,0,80,0,0,3,1,76,0,0,0,0,3,0,0,4,4,0,0,0,0,82,0,61
0,0,81,2,0,15,1,77,0,0,0,0,15,2,0,21,1,0,0,0,11,83,3,62
0,1,3,0,0,3,1,4,0,0,0,0,3,2,0,15,17,0,0,0,16,3,3,63
0,1,82,3,0,36,0,78,0,0,0,0,35,9,1,30,40,0,0,0,4,84,12,42
0,1,4,0,0,3,0,79,0,0,0,0,3,2,0,4,12,0,0,0,20,4,15,64
0,1,32,3,0,12,1,14,0,0,0,0,3,8,1,24,36,0,0,0,1,69,2,2
0,0,15,3,0,13,1,15,0,0,0,0,6,5,1,7,9,1,0,0,4,15,7,14
2,1,3,0,0,3,0,27,0,0,0,0,3,2,14,3,3,0,0,0,8,3,2,2
0,0,16,4,1,6,1,6,0,0,0,0,6,8,1,19,23,0,0,0,3,44,3,5
0,1,83,3,0,12,1,14,0,0,0,0,3,4,1,1,1,0,0,0,4,85,2,2
0,1,27,1,0,12,1,14,0,0,0,0,3,1,1,17,0,0,0,0,1,68,2,2
0,0,11,1,0,37,1,11,0,1,1,1,36,2,6,3,3,0,0,0,8,11,3,63
0,0,17,1,0,12,0,11,0,0,0,0,3,2,1,5,6,0,0,0,4,18,3,65
0,0,20,5,0,38,1,80,0,0,0,0,37,2,0,23,8,0,0,0,16,20,3,55
0,0,84,2,0,15,1,81,0,0,0,0,15,2,0,21,1,0,0,0,11,86,3,66
0,0,4,0,0,4,1,82,0,0,0,0,35,2,0,3,3,0,0,0,0,4,3,67
0,1,4,0,0,3,1,8,0,0,0,0,3,2,0,15,17,0,0,0,8,4,3,68
2,0,85,0,0,3,0,83,0,0,0,0,3,0,0,4,4,0,0,0,3,87,0,4
0,0,86,0,0,39,1,84,0,0,0,0,38,8,1,31,41,0,0,0,0,88,13,56
2,0,87,1,0,12,0,85,0,1,1,1,3,0,17,4,4,0,0,0,3,89,0,4
2,0,88,3,0,13,1,64,0,0,0,0,6,5,1,7,26,1,0,0,3,90,7,14
2,0,88,3,0,13,1,64,0,0,0,0,6,5,1,7,26,1,0,0,3,90,7,14
0,1,89,0,0,40,1,86,0,0,0,0,39,8,1,28,37,0,0,0,0,91,13,69
0,1,17,1,0,12,1,87,0,1,1,1,3,2,6,11,0,0,0,0,0,18,3,70
0,0,90,2,0,15,1,88,0,0,0,0,15,2,0,1,1,0,0,0,11,92,3,71
0,1,17,1,0,12,1,87,0,1,1,1,3,2,6,11,0,0,0,0,0,18,3,70
0,0,3,0,0,3,1,8,0,0,0,0,3,2,0,5,6,0,0,0,0,3,3,65
0,0,78,0,0,38,1,89,0,0,0,0,37,2,0,2,1,0,0,0,16,80,3,5
0,0,91,2,0,38,1,90,0,1,1,1,37,2,18,6,8,0,0,0,16,93,3,72
0,0,92,5,0,3,0,91,0,0,0,0,3,2,0,3,3,0,0,0,0,94,3,5
0,0,93,0,0,38,1,92,0,0,0,0,37,2,0,0,0,0,0,0,16,95,3,73
1,1,94,6,4,41,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,1,95,7,5,42,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
